Object Name,Latitude,Longitude
VANGUARD 1,-21.976923602286817,-73.1272201730928
VANGUARD 2,-19.425555077149344,51.28423013362167
VANGUARD R/B,-20.233530664858336,-55.46335122695329
VANGUARD R/B,3.1409232347398923,137.42762487624987
VANGUARD 3,32.66349412811198,-75.29464361654306
EXPLORER 7,16.929168386453203,-102.5422972688768
TIROS 1,-20.705030106846714,-63.599757771937306
TRANSIT 2A,-24.82073776601035,-165.22282085597965
SOLRAD 1 (GREB),66.5324421666641,11.309682987239821
THOR ABLESTAR R/B,32.188907518094396,167.98590639780872
DELTA 1 R/B,-24.54851925749565,75.15165746442807
ECHO 1 DEB (METAL OBJ),-44.25825167320683,-25.73132839060813
ECHO 1 DEB (METAL OBJ),-34.77509653618053,-144.38583062518975
COURIER 1B,-13.305344684886936,-69.4196264822498
THOR ABLESTAR R/B,-22.054881141921292,69.87883179833557
SCOUT X-1 R/B,14.124272970853683,112.10117245064578
SCOUT X-1 DEB,-30.528562295285727,123.01543475162633
EXPLORER 11,-16.44929490288996,-117.27203318727376
THOR ABLE DEB (YO),28.725816326500734,126.07109405599999
TRANSIT 4A,61.58564840912357,-29.959060993396758
SOLRAD 3/INJUN 1,-32.29375249307894,-6.611890069434703
THOR ABLESTAR R/B,-59.02666457796575,171.3030397529633
THOR ABLESTAR DEB,-0.9984977618955564,97.93755975404902
THOR ABLESTAR DEB,44.863898453913514,-160.69401137937282
THOR ABLESTAR DEB,28.31877106679104,-168.9018026165833
THOR ABLESTAR DEB,-58.271249002333064,115.61943066018745
THOR ABLESTAR DEB,-44.93665571124595,162.69075508918453
THOR ABLESTAR DEB,52.306499472621866,132.4891021093434
THOR ABLESTAR DEB,-30.275662547480064,-64.15018995325818
THOR ABLESTAR DEB,30.071811331081808,-8.774568341258261
THOR ABLESTAR DEB,15.99851742804973,-165.95863920502035
THOR ABLESTAR DEB,2.7272751752755213,173.98577004689778
THOR ABLESTAR DEB,-0.40218589641916774,10.316772671825643
THOR ABLESTAR DEB,-7.824048469039778,79.82882540309019
THOR ABLESTAR DEB,-17.18325594088985,62.261954052955105
THOR ABLESTAR DEB,-53.55781007158717,-27.500317375227517
THOR ABLESTAR DEB,19.630890272326788,-75.04835987110835
THOR ABLESTAR DEB,66.78397124675257,-40.717106975792056
THOR ABLESTAR DEB,-48.88606219746186,1.711239125582175
THOR ABLESTAR DEB,-0.13290314889292035,-98.60009544848036
THOR ABLESTAR DEB,-54.962303306486206,-16.844570187458203
THOR ABLESTAR DEB,53.14223214889301,-82.8934653273021
THOR ABLESTAR DEB,42.343846462620355,78.90255591530128
THOR ABLESTAR DEB,63.11160779508535,12.179101025045915
THOR ABLESTAR DEB,64.94517411651486,81.06200544615372
THOR ABLESTAR DEB,0.5013784451926959,-101.22296746953778
THOR ABLESTAR DEB,35.086693225635855,177.0636910342647
THOR ABLESTAR DEB,22.998892342999902,157.87221751497603
THOR ABLESTAR DEB,-65.44139686041923,-127.72333783114574
THOR ABLESTAR DEB,34.93508097612016,-21.247800751699014
TIROS 3,23.45134107838581,160.80119310054687
MIDAS 3,-26.41416853132017,-69.56567207609991
DELTA 1 DEB (YO),3.7935257667106597,122.58236336201502
THOR ABLESTAR DEB,-1.401452794901062,105.79889810115334
THOR ABLESTAR DEB,40.50785424801718,-170.06050869086795
THOR ABLESTAR DEB,-13.868668009043398,-154.26137111404523
MIDAS 3 DEB,-57.77713999946447,-68.20686766384281
MIDAS 4,84.09690616466663,-73.67386355788764
MIDAS 4 DEB,7.2130275380742175,-133.54732602358663
MIDAS 4 DEB,45.53160670607437,-165.84793872348368
MIDAS 3 DEB,-85.34189672042467,-85.65344504666146
TRANSIT 4B,-30.272901049689615,-71.98431642409197
THOR ABLESTAR R/B,-24.068720580677528,-55.24174951995982
TRAAC,3.5812580831839087,-63.68357312994318
THOR ABLESTAR DEB,-33.52962969866316,-91.13485755136088
THOR ABLESTAR DEB,-38.92164100061337,-90.00502362121723
THOR ABLESTAR DEB,0.40513637662052315,-140.03238976572138
THOR ABLESTAR DEB,5.8482624170675495,45.25498507583493
TIROS 4,30.93840507110207,-135.44814313695497
DELTA 1 DEB (YO),37.67178743053145,86.00624005709894
DELTA 1 DEB (YO),-43.97508042147181,-149.69796198464732
THOR ABLESTAR DEB,-44.01232318872659,82.06532556963231
THOR ABLESTAR DEB,-7.171596636345228,149.90056799741788
THOR ABLESTAR DEB,63.14392657606507,173.9090929908852
THOR ABLESTAR DEB,58.18583618702564,71.0370417914057
THOR ABLESTAR DEB,-51.10650550995501,69.80378362482206
THOR ABLESTAR DEB,-40.21323392506308,45.90743238240513
THOR ABLESTAR DEB,-39.60905090749953,123.22590909403439
THOR ABLESTAR DEB,-57.51771295071397,-89.40479788235783
THOR ABLESTAR DEB,37.339903156444635,-65.38907720560229
THOR ABLESTAR DEB,54.35876697013348,111.12465899716064
THOR ABLESTAR DEB,-39.94055006120633,-154.95739724518782
THOR ABLESTAR DEB,44.86276489687494,15.969394608354536
THOR ABLESTAR DEB,15.99624142703617,-137.45328578247322
THOR ABLESTAR DEB,-44.13853994989565,-172.64056669582425
THOR ABLESTAR DEB,53.17148001781702,158.264605547251
THOR ABLESTAR DEB,-63.13560136262438,50.80442578629048
THOR ABLESTAR DEB,-65.44190512765799,-35.86429262954177
THOR ABLESTAR DEB,-54.05591086743823,-73.10078788918315
MIDAS 5 (STRONGBACK),12.905199620414624,32.73085636967035
MIDAS 5 DEB,13.447331562553714,-165.44204694185652
MIDAS 5 DEB,-64.41457630934515,-125.31840985178994
THOR ABLESTAR DEB,-9.506058120545838,-115.57406416064649
TIROS 5,23.68800098465181,59.67677706571154
DELTA 1 DEB (YO),35.712082734628545,168.24490980445557
THOR ABLESTAR DEB,65.79773233572226,149.76229033406923
THOR ABLESTAR DEB,20.851182765299598,114.6983874860829
THOR ABLESTAR DEB,33.86052156375992,178.40902535814524
THOR ABLESTAR DEB,-51.218447094016305,116.00753658514633
THOR ABLESTAR DEB,64.41815571814065,123.45295600766254
THOR ABLESTAR DEB,10.265526854047495,-76.00119253534494
THOR ABLESTAR DEB,66.07943710549239,-174.04343096107652
THOR ABLESTAR DEB,18.723659725840466,-131.61557870782133
THOR ABLESTAR DEB,-15.64242718139725,-26.80132155876638
THOR ABLESTAR DEB,-37.52827155197767,12.44574629620741
THOR ABLESTAR DEB,-57.81347224634183,-37.60546233849475
THOR ABLESTAR DEB,10.307412302512034,74.1304556768763
THOR ABLESTAR DEB,-57.76621022541528,-73.98822274723847
TELSTAR 1,-22.84129888694851,-2.3425730802355504
DELTA 1 R/B,-39.76259207317821,6.076785508711517
THOR ABLESTAR DEB,61.67163618244968,-98.4763819685195
THOR ABLESTAR DEB,-66.8414547512975,138.10133768533126
THOR ABLESTAR DEB,-11.668738304351255,55.383187964600175
THOR ABLESTAR DEB,-19.679511929719844,-71.2344395981384
THOR ABLESTAR DEB,20.432842071510315,168.62555229701024
THOR ABLESTAR DEB,66.90441633472241,157.29788698307206
FTV 3502,55.878644652087814,9.460239852099326
TIROS 6,-58.427616937017454,105.81095430060164
DELTA 1 DEB (YO),58.53435369518423,-54.292201521796265
THOR ABLESTAR DEB,19.76686337714477,59.70834050198018
THOR ABLESTAR DEB,-41.36021611567393,20.375666508536767
THOR ABLESTAR DEB,63.048579773961066,-76.42112845927501
THOR ABLESTAR DEB,-13.465581416197905,-130.57505310318754
THOR ABLESTAR DEB,62.15989192502156,169.46768624114364
THOR ABLESTAR DEB,-48.011559228748006,-25.351360433365013
THOR ABLESTAR DEB,-47.77093104525097,-70.85633940539306
THOR ABLESTAR DEB,28.916959063752667,-128.09670362310138
THOR ABLESTAR DEB,16.8382663043241,-73.80741196929344
THOR ABLESTAR DEB,63.6685850191541,-175.7123939813302
THOR ABLESTAR DEB,58.1707122338098,-43.848579779992484
THOR ABLESTAR DEB,-58.69729273265,66.18406651239225
THOR ABLESTAR DEB,8.718660733806846,-153.7724720159159
ALOUETTE 1 (S-27),67.27457234951216,-165.05088649884155
THOR AGENA B R/B,-21.764936670272487,174.9124040327712
ANNA 1B,-39.46085373872202,7.974156152982908
THOR ABLESTAR R/B,22.311257826709845,85.82841308118721
THOR ABLESTAR DEB,28.71665119104042,113.13853867288248
THOR ABLESTAR DEB,-19.9827982524544,5.569689252049774
THOR ABLESTAR DEB,49.221205803644814,-2.940479789416935
THOR ABLESTAR DEB,-41.84994357249676,-62.165591370589425
THOR ABLESTAR DEB,-40.09589920302078,-115.44866211705342
THOR ABLESTAR DEB,-19.674291442708224,-95.20761584055901
THOR ABLESTAR DEB,-61.534242836351886,82.5637394749039
THOR ABLESTAR DEB,15.693543778719828,121.53188407532947
THOR ABLESTAR DEB,11.228536819436096,-126.60670833637285
THOR ABLESTAR DEB,-36.100130173667274,-178.0971954612187
THOR ABLESTAR DEB,66.2458158882726,135.98319601955887
RELAY 1 (A-15),-33.660068244307894,-70.07541070344647
EXPLORER 16,26.03778167651238,-90.03585286534144
THOR AGENA B DEB,75.34048618879605,10.263284250686924
THOR AGENA B DEB,-71.75435072253113,83.01856175242027
DELTA 1 R/B,-37.11137612583899,-29.848507765042736
THOR ABLESTAR DEB,-57.95283988225003,-96.23979392800076
THOR ABLESTAR DEB,18.959205175469265,60.17849819110929
THOR ABLESTAR DEB,-13.30278886236782,-97.94287776330948
THOR ABLESTAR DEB,-62.0861903861373,-120.00561442326895
THOR ABLESTAR DEB,-60.959762500569006,-166.92912970552734
